"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Asheville, NC","11700",2019,273,199,72,2,0,0,0,108,64,46,0,0,195,17,61,0
"Ashtabula, OH","11780",2019,243,222,20,1,0,0,0,112,49,38,0,0,184,59,0,0
"Athens, OH","11900",2019,81,78,3,0,0,0,0,56,41,27,0,0,0,0,81,0
"Athens, TN","11940",2019,173,149,24,0,0,0,0,65,53,29,0,0,0,0,173,0
"Athens-Clarke County, GA","12020",2019,273,191,82,0,0,0,0,87,61,44,0,0,150,0,123,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2019,274,106,153,14,1,0,0,172,91,55,1,2,139,0,132,0
"Atlantic City-Hammonton, NJ","12100",2019,181,157,23,1,0,0,0,105,52,40,0,0,142,0,39,0
"Augusta-Richmond County, GA-SC","12260",2019,273,158,115,0,0,0,0,97,71,48,0,0,155,12,106,0
"Augusta-Waterville, ME","12300",2019,270,266,4,0,0,0,0,64,45,33,0,50,210,0,10,0
"Austin-Round Rock, TX","12420",2019,244,160,83,1,0,0,0,115,64,45,1,4,116,0,123,0
"Bakersfield, CA","12540",2019,273,189,70,12,2,0,0,166,67,44,0,1,80,0,153,39
"Baltimore-Columbia-Towson, MD","12580",2019,304,183,110,11,0,0,0,150,87,47,0,9,239,2,54,0
"Bangor, ME","12620",2019,304,294,10,0,0,0,0,86,45,33,0,0,208,0,92,4
"Baraboo, WI","12660",2019,243,209,33,1,0,0,0,107,54,37,0,0,135,0,108,0
"Barnstable Town, MA","12700",2019,236,226,10,0,0,0,0,93,47,39,0,0,236,0,0,0
"Baton Rouge, LA","12940",2019,274,175,91,8,0,0,0,115,77,45,1,5,145,1,122,0
"Bay City, MI","13020",2019,179,170,9,0,0,0,0,83,44,25,0,0,0,0,179,0
"Beaumont-Port Arthur, TX","13140",2019,181,103,72,5,1,0,0,174,80,48,0,0,96,22,63,0
"Beaver Dam, WI","13180",2019,244,195,48,1,0,0,0,122,58,42,1,0,190,0,53,0
"Bellingham, WA","13380",2019,212,158,48,6,0,0,0,122,72,35,0,0,31,114,67,0
"Bemidji, MN","13420",2019,175,161,14,0,0,0,0,71,44,24,0,0,0,0,175,0
"Bend-Redmond, OR","13460",2019,90,89,1,0,0,0,0,56,37,20,0,0,0,0,90,0
"Bennington, VT","13540",2019,181,171,10,0,0,0,0,68,47,39,0,0,166,0,15,0
"Berlin, NH-VT","13620",2019,122,121,1,0,0,0,0,51,46,40,0,0,122,0,0,0
"Big Spring, TX","13700",2019,190,169,21,0,0,0,0,99,51,6,0,0,0,190,0,0
"Billings, MT","13740",2019,178,176,2,0,0,0,0,67,33,15,0,0,0,72,106,0
"Birmingham-Hoover, AL","13820",2019,212,136,74,1,1,0,0,200,67,45,0,1,120,11,79,1
"Bishop, CA","13860",2019,273,165,101,5,1,1,0,247,84,48,0,0,209,0,6,58
"Bismarck, ND","13900",2019,274,233,41,0,0,0,0,90,54,39,1,2,226,0,45,0
"Blacksburg-Christiansburg-Radford, VA","13980",2019,273,235,36,2,0,0,0,134,56,37,0,0,182,91,0,0
"Bloomington, IL","14010",2019,243,165,78,0,0,0,0,100,64,45,0,0,138,0,105,0
"Bloomington, IN","14020",2019,251,207,44,0,0,0,0,87,58,42,0,0,181,0,70,0
"Boise City, ID","14260",2019,182,141,41,0,0,0,0,88,60,41,1,2,96,0,82,1
"Borger, TX","14420",2019,206,118,35,51,2,0,0,162,121,33,0,0,0,206,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2019,244,184,59,1,0,0,0,122,61,44,1,8,164,0,71,0
"Boulder, CO","14500",2019,243,136,102,5,0,0,0,119,80,49,0,0,195,0,47,1
"Bowling Green, KY","14540",2019,244,203,41,0,0,0,0,77,54,42,1,0,202,0,41,0
"Bozeman, MT","14580",2019,244,221,23,0,0,0,0,91,50,20,4,12,0,0,228,0
"Brainerd, MN","14660",2019,180,159,20,1,0,0,0,101,55,32,0,0,80,0,100,0
"Bremerton-Silverdale, WA","14740",2019,187,185,2,0,0,0,0,75,29,15,0,0,0,0,187,0
"Bridgeport-Stamford-Norwalk, CT","14860",2019,182,138,38,6,0,0,0,119,64,43,1,6,101,0,74,0
"Brookings, SD","15100",2019,181,115,61,5,0,0,0,126,77,47,0,0,165,0,16,0
"Brownsville-Harlingen, TX","15180",2019,181,101,80,0,0,0,0,89,69,48,0,0,69,0,112,0
"Brunswick, GA","15260",2019,231,212,19,0,0,0,0,80,49,36,0,0,203,0,28,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2019,274,228,46,0,0,0,0,93,55,40,1,17,208,0,48,0
"Burlington-South Burlington, VT","15540",2019,182,170,12,0,0,0,0,80,48,40,1,0,153,0,28,0
"Butte-Silver Bow, MT","15580",2019,179,147,32,0,0,0,0,91,61,19,0,0,0,0,93,86
"Cadillac, MI","15620",2019,211,187,24,0,0,0,0,74,51,40,0,0,189,0,22,0
"Cambridge, MD","15700",2019,273,231,40,2,0,0,0,101,54,41,0,0,196,0,77,0
"Canton-Massillon, OH","15940",2019,243,144,99,0,0,0,0,100,67,47,0,0,126,0,117,0
"Cape Coral-Fort Myers, FL","15980",2019,181,151,29,1,0,0,0,108,58,39,0,0,152,0,27,2
"Carlsbad-Artesia, NM","16100",2019,226,115,99,10,2,0,0,174,93,50,0,1,225,0,0,0
"Carson City, NV","16180",2019,181,139,42,0,0,0,0,97,61,45,0,0,137,0,44,0
"Casper, WY","16220",2019,180,154,26,0,0,0,0,74,51,44,0,0,178,1,1,0
"Ca¤on City, CO","15860",2019,18,18,0,0,0,0,0,29,23,11,0,0,0,0,0,18
"Cedar City, UT","16260",2019,304,275,29,0,0,0,0,84,50,43,0,8,281,0,15,0
"Cedar Rapids, IA","16300",2019,304,247,57,0,0,0,0,80,58,39,0,0,175,3,126,0
"Centralia, WA","16500",2019,212,203,9,0,0,0,0,62,38,18,0,0,0,0,212,0
"Chambersburg-Waynesboro, PA","16540",2019,198,184,14,0,0,0,0,80,49,39,0,0,198,0,0,0
"Champaign-Urbana, IL","16580",2019,243,183,60,0,0,0,0,93,61,44,0,0,173,0,70,0
"Charleston, WV","16620",2019,274,228,46,0,0,0,0,93,55,42,6,0,203,3,62,0
"Charleston-North Charleston, SC","16700",2019,263,209,53,1,0,0,0,140,60,40,0,0,182,0,80,1
"Charlotte-Concord-Gastonia, NC-SC","16740",2019,274,143,115,16,0,0,0,136,90,50,1,0,204,0,69,0
"Charlottesville, VA","16820",2019,161,148,13,0,0,0,0,67,49,40,0,0,118,0,43,0
"Chattanooga, TN-GA","16860",2019,273,172,101,0,0,0,0,97,67,47,0,0,159,0,114,0
"Cheyenne, WY","16940",2019,182,157,25,0,0,0,0,74,54,43,1,1,170,0,7,3
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2019,274,104,157,12,1,0,0,174,84,54,21,14,79,7,145,8
"Chico, CA","17020",2019,182,144,37,1,0,0,0,102,58,40,0,0,95,0,87,0
"Cincinnati, OH-KY-IN","17140",2019,274,110,154,10,0,0,0,140,87,54,1,4,144,3,119,3
"Claremont-Lebanon, NH-VT","17200",2019,211,208,3,0,0,0,0,60,44,36,0,0,196,0,15,0
"Clarksburg, WV","17220",2019,56,53,3,0,0,0,0,55,44,28,0,0,0,0,56,0
"Clarksville, TN-KY","17300",2019,202,172,30,0,0,0,0,74,54,42,0,0,161,0,41,0
"Clearlake, CA","17340",2019,33,33,0,0,0,0,0,33,22,8,0,0,0,0,21,12
"Cleveland, MS","17380",2019,272,207,65,0,0,0,0,80,60,43,0,0,124,0,148,0
"Cleveland-Elyria, OH","17460",2019,268,146,116,6,0,0,0,119,74,49,0,1,137,2,122,6
